Relative Position,Position X,Position Y,ca-access-point,node14ap,ntua,\x00,ntuax,ntua,CNLab,CNLab,TestCN,ntuax,conference_room,TP-LINK_9FBBEF,TestCN,CNLab,ntuax,ntua,eduroam,Grafeio B.3.19,mlab1,TestCN,\x00,node19ap,ntua,NETMODE_2.4GHz,node20ap,ntua,TestCN,ntuax,ntua,CNLab,ntuax,MAC_Room,\x00,Emmanouella's Home,,CBS,awmn-240,GEOTUN,CNLab,,ntuax,ntua,\x00,ntuax,ntua
Relative Position,Position X,Position Y,2437,2437,2437,2462,2437,2412,2437,2412,2437,2412,2452,2462,2412,2412,2412,2412,2412,2472,2452,2412,2412,2412,2412,2432,2437,2437,2462,2462,2462,2462,2412,2452,2412,2412,2432,2452,2452,2437,2437,2462,2462,2462,2437,2437,2412
Relative Position,Position X,Position Y,00:0b:6b:de:ea:23,00:0b:6b:de:ea:36,00:23:eb:08:cf:c3,00:15:c7:ff:16:a5,00:23:eb:08:cf:c2,00:1e:7a:18:6c:40,00:23:eb:08:cf:c0,00:1e:7a:18:68:00,00:23:eb:08:cf:c1,00:1e:7a:18:68:03,0c:80:63:f5:1b:9c,c4:6e:1f:9f:bb:ef,78:ba:f9:94:79:b1,78:ba:f9:94:79:b0,78:ba:f9:94:79:b2,78:ba:f9:94:79:b3,00:1e:7a:18:6c:41,64:70:02:3c:a4:30,a0:04:60:73:60:d3,00:1e:7a:18:68:01,00:1e:7a:18:68:06,f4:ec:38:ed:14:25,00:1e:7a:18:68:02,e8:de:27:db:10:60,f4:ec:38:ed:10:fc,00:15:c7:ff:16:92,00:15:c7:ff:16:a1,00:15:c7:ff:16:a3,00:15:c7:ff:16:a2,00:15:c7:ff:16:a0,00:1e:7a:18:65:b1,b0:48:7a:bb:cc:6e,00:1e:7a:18:68:05,78:8a:20:21:49:dc,30:b5:c2:23:38:87,68:72:51:3e:d5:a6,00:0b:6b:34:96:a8,64:66:b3:58:27:8c,00:15:c7:ff:16:90,ec:08:6b:ab:73:70,00:26:99:34:3a:d1,00:26:99:34:3a:d0,00:15:c7:ff:16:96,00:15:c7:ff:16:93,00:1e:7a:18:65:b0
4,-4,15,-70,-35,-65,-56,-64,-69,-65,-85,-67,-85,-83,100,-84,-88,-85,-86,-66,-87,-89,-86,-86,-63,-86,-62,-64,100,-56,-56,-56,-56,100,100,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
4,-4,15,-37,-42,-67,-56,-64,-69,-65,-85,-67,-85,-83,100,-84,-88,-85,-86,-66,-87,-89,-86,-86,-64,-86,-58,-60,100,-62,-62,-63,-63,100,100,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
4,-4,15,-66,-32,-66,-56,-66,-73,-71,-85,-69,-85,-83,100,-85,-85,-85,-86,-66,-87,-89,-86,-86,-67,-81,-55,-58,100,-59,-62,-58,-61,100,100,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
4,-4,15,-44,-39,-64,-60,-65,-68,-64,-85,-63,-85,-84,100,-85,-85,-85,-86,-68,-87,-89,-86,-86,-66,-81,-60,-58,100,-61,-61,-65,-60,100,100,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
4,-4,15,-32,-44,-63,-60,-64,-68,-64,-85,-67,-85,-84,100,-85,-85,-86,-86,-69,-87,-89,-84,-82,-66,-85,-62,-59,100,-59,-58,-60,-58,100,100,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
4,-4,15,-34,-29,-68,-59,-69,-71,-69,-85,-70,-85,-84,100,-85,-85,-86,-86,-70,-87,-89,-84,-82,-66,-85,-64,-59,100,-59,-60,-57,-60,100,100,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
4,-4,15,-39,-33,-69,-59,-69,-68,-70,-85,-73,-85,-86,-87,-85,-85,-86,-86,-67,-87,-89,-84,-84,-66,-83,-56,-59,100,-61,-57,-59,-58,100,100,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
4,-4,15,-40,-33,-66,-58,-69,-68,-66,-85,-70,-85,-86,-87,-85,-85,-86,-86,-70,-87,-89,-84,-84,-61,-83,-56,-59,100,-57,-58,-56,-58,100,100,-87,-89,-88,100,100,100,100,100,100,100,100,100,100
4,-4,15,-35,-35,-72,-58,-72,-68,-70,-85,-70,-85,-83,-87,-85,-85,-86,-86,-70,-87,-89,-84,-84,-64,-87,-58,-58,100,-59,-60,-61,-59,100,100,-87,-89,-88,-89,100,100,100,100,100,100,100,100,100
4,-4,15,-46,-40,-64,-59,-64,-68,-69,-85,-69,-85,-84,-87,-85,-85,-86,-86,-67,-87,-89,-84,-84,-65,-87,-57,-60,100,-59,-59,-61,-61,100,100,-87,-89,-88,-89,100,100,100,100,100,100,100,100,100
4,-4,15,-26,-36,-73,-59,-73,-70,-69,-85,-73,-85,-86,-87,-85,-85,-88,-86,-67,-87,-89,-84,-84,-64,-87,-60,-60,100,-64,-66,-64,-64,100,100,-87,-89,-88,-89,-89,100,100,100,100,100,100,100,100
4,-4,15,-36,-37,-67,-63,-68,-70,-70,-85,-70,-85,-87,-87,-85,-85,-88,-89,-67,-87,-89,-84,-84,-64,-87,-61,-60,100,-64,-64,-64,-65,100,100,-87,-89,-88,-89,-89,100,100,100,100,100,100,100,100
4,-4,15,-40,-36,-70,-63,-64,-64,-65,-85,-65,-88,-84,-87,-85,-85,-88,-89,-72,-87,-89,-85,-84,-64,-87,-60,-56,100,-61,-59,-61,-59,100,100,-87,-89,-88,-89,-89,100,100,100,100,100,100,100,100
4,-4,15,-69,-36,-72,-60,-73,-69,-66,-85,-72,-88,-85,-87,-85,-85,-88,-89,-68,-87,-89,-85,-84,-63,-87,-56,-57,100,-59,-60,-60,-59,100,100,-87,-89,-88,-89,-89,100,100,100,100,100,100,100,100
5,-3,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
5,-3,15,-38,-34,-65,-59,-65,-65,-62,-85,-63,-88,-84,-87,-85,-85,-88,-89,-65,-87,-89,-89,-84,-61,-87,-61,-51,100,-58,-58,-58,-58,100,100,-87,-89,-88,-89,-89,-90,100,100,100,100,100,100,100
5,-3,15,-66,-32,-68,-59,-65,-66,-63,-85,-65,-84,-82,-87,-85,-85,-88,-89,-65,-87,100,-85,-84,-61,-84,-61,-57,100,-57,-57,-56,-56,100,100,100,100,100,-89,-89,-90,100,100,100,100,100,100,100
5,-3,15,-46,-28,-68,-61,-65,-70,-62,-85,-65,-84,-82,-87,-85,-85,-88,-89,-70,-87,100,-85,-84,-68,-84,-64,-60,100,-60,-61,-61,-61,100,100,100,100,100,-89,-89,-90,100,100,100,100,100,100,100
5,-3,15,-40,-32,-66,-61,-65,-67,-62,-85,-66,-84,-83,-87,-85,-85,-88,-89,-66,-87,100,-88,-84,-65,-84,-57,-61,100,-70,-66,-66,-65,100,100,100,100,100,-89,-89,-90,100,100,100,100,100,100,100
5,-3,15,-41,-35,-66,-60,-66,-70,-66,-85,-66,-84,-86,-87,-85,-85,-88,-89,-66,-87,100,-88,-84,-64,-84,-57,-61,100,-61,-66,-66,-65,100,100,100,100,100,-89,-89,-90,100,100,100,100,100,100,100
